epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,105.546,0,24.2251,0,0.0001,0.0625,0.00013,1e-05,4.70174,3.89977,3.7714,0.000940625,0.000940625,0.000940625
27,108.475,0,23.4665,0,0.0001,0.0625,0.00013,1e-05,4.62897,3.97184,3.77125,0.00092825,0.00092825,0.00092825
28,111.374,0,22.6868,0,0.0001,0.0625,0.00013,1e-05,4.60906,3.95804,3.80523,0.000915875,0.000915875,0.000915875
29,114.451,0,21.9518,0,0.0001,0.0625,0.00013,1e-05,4.59574,3.97503,3.84292,0.0009035,0.0009035,0.0009035
30,118.95,0,21.236,0,0.0001,0.0625,0.00013,1e-05,4.50465,4.00367,3.80815,0.000891125,0.000891125,0.000891125
31,122.902,0,20.676,0,0.0001,0.0625,0.00013,1e-05,4.55754,4.05304,3.73503,0.00087875,0.00087875,0.00087875
32,125.993,0,19.9498,0,0.0001,0.0625,0.00013,1e-05,4.44378,4.009,3.8704,0.000866375,0.000866375,0.000866375
33,128.969,0,19.3114,0,0.0001,0.0625,0.00013,1e-05,4.44954,3.97476,3.84023,0.000854,0.000854,0.000854
34,132.409,0,18.6833,0,0.0001,0.0625,0.00013,1e-05,4.8,3.988,3.98877,0.000841625,0.000841625,0.000841625
35,137.523,0,18.1315,0,0.0001,0.0625,0.00013,1e-05,4.97478,4.01882,3.87709,0.00082925,0.00082925,0.00082925
36,141.425,0,17.5471,0,0.0001,0.0625,0.00013,1e-05,4.94733,4.01707,3.90787,0.000816875,0.000816875,0.000816875
37,144.494,0,16.9949,0,0.0001,0.0625,0.00013,1e-05,4.95645,4.03468,3.94818,0.0008045,0.0008045,0.0008045
38,147.384,0,16.4461,0,0.0001,0.0625,0.00013,1e-05,5.02064,4.01941,4.04935,0.000792125,0.000792125,0.000792125
39,151.226,0,15.9513,0,0.0001,0.0625,0.00013,1e-05,5.02941,4.06482,4.06552,0.00077975,0.00077975,0.00077975
40,156.44,0,15.436,0,0.0001,0.0625,0.00013,1e-05,5.07305,4.08907,4.01545,0.000767375,0.000767375,0.000767375
41,159.915,0,14.983,0,0.0001,0.0625,0.00013,1e-05,5.02964,4.12423,4.08164,0.000755,0.000755,0.000755
42,163.04,0,14.5324,0,0.0001,0.0625,0.00013,1e-05,5.03198,4.14317,3.90539,0.000742625,0.000742625,0.000742625
43,165.832,0,14.1047,0,0.0001,0.0625,0.00013,1e-05,5.0162,4.17062,3.88668,0.00073025,0.00073025,0.00073025
44,169.791,0,13.6943,0,0.0001,0.0625,0.00013,1e-05,4.97198,4.17126,3.86393,0.000717875,0.000717875,0.000717875
45,175.278,0,13.2658,0,0.0001,0.0625,0.00013,1e-05,4.95682,4.20959,3.89484,0.0007055,0.0007055,0.0007055
